age,salary,experience,education_level,target
61,81585,30,2,1
25,47482,2,0,0
41,80369,34,2,1
28,54143,23,1,0
34,44240,6,2,0
25,30015,34,0,0
52,102164,20,1,1
52,83023,0,1,0
50,71500,5,2,0
22,83925,38,2,1
59,110979,33,0,1
56,116355,17,1,1
58,100596,24,2,1
45,112973,14,1,1
24,69631,31,0,0
26,96190,17,1,0
25,83652,30,2,1
29,71087,28,0,0
51,99789,14,0,0
50,74909,22,1,1
40,31565,37,2,1
41,47597,10,1,0
54,113304,14,1,1
52,85623,22,1,1
61,29432,2,2,0
57,94300,18,1,1
39,143693,0,1,0
44,85714,23,0,1
52,111837,10,0,0
18,69314,29,0,0
52,120944,10,2,1
54,61965,38,1,1
64,117449,0,1,1
31,104268,11,0,0
20,87957,3,1,0
18,63715,24,2,0
22,73450,7,1,0
43,106062,14,0,0
31,81902,29,2,1
56,48317,39,1,1
44,139191,31,1,1
26,86753,34,1,1
32,55242,20,2,0
32,20929,30,1,0
43,126262,35,0,1
59,143196,26,0,1
30,119806,7,0,0
49,118724,22,0,1
56,33580,22,2,1
49,134144,32,0,1
21,124134,12,0,0
47,115967,38,0,1
54,40742,34,2,1
40,37833,15,2,0
56,116421,11,1,1
62,91347,30,0,1
32,94155,4,1,0
60,109791,39,2,1
46,110508,24,1,1
53,33527,20,2,1
30,78139,2,1,0
49,134527,9,0,1
24,118410,22,2,1
39,89585,16,2,1
45,61057,34,2,1
19,87439,24,0,0
59,142337,1,0,0
62,138258,26,2,1
23,64261,8,2,0
45,90912,3,0,0
45,20042,25,0,0
61,42769,31,0,1
61,87113,28,0,1
37,97918,21,0,0
47,42449,12,0,0
28,58653,22,1,0
45,48859,30,0,1
42,28576,35,0,1
56,65874,39,2,1
50,97199,30,2,1
18,56345,14,1,0
44,137926,13,0,1
30,134446,34,2,1
58,90780,23,2,1
20,144576,29,1,1
56,120438,29,0,1
23,89428,26,2,1
25,112648,39,0,1
44,24321,13,1,0
26,25776,10,1,0
54,128888,25,0,1
50,36119,20,1,0
59,50569,8,2,0
61,147493,0,1,1
41,58596,5,1,0
32,72967,0,0,0
49,53063,21,2,1
49,118717,12,0,1
41,42340,37,0,1
58,95723,39,0,1
29,75430,30,1,1
56,132620,14,1,1
19,26668,1,0,0
20,100880,30,1,1
54,28195,25,1,1
34,102097,1,0,0
19,143625,10,2,0
19,122658,32,2,1
45,77995,17,1,0
40,107834,20,2,1
54,58250,30,2,1
49,146769,25,1,1
50,36076,29,2,1
18,35376,38,1,0
36,121575,20,0,1
19,75839,15,2,0
61,84723,6,0,0
43,63442,21,0,0
49,25392,6,1,0
23,134977,1,2,0
49,143682,36,2,1
21,47106,13,2,0
28,99845,7,2,0
34,44809,28,1,0
55,135095,6,0,1
41,20693,37,2,1
22,119473,21,2,1
51,114769,16,1,1
23,79821,15,2,0
39,94159,32,2,1
28,126086,38,0,1
33,132160,34,2,1
50,145424,37,2,1
26,94710,31,0,1
23,31352,2,2,0
33,72196,2,0,0
46,91066,7,1,0
20,24992,30,0,0
37,73076,8,0,0
53,43354,4,2,0
36,23312,27,2,0
43,65833,14,2,0
20,24318,26,2,0
36,132363,30,0,1
37,119992,39,1,1
49,86003,17,2,1
24,47192,37,0,0
58,127841,3,1,1
50,120726,20,1,1
57,109199,22,1,1
56,116782,21,0,1
35,139195,0,2,0
57,132908,24,0,1
18,57489,27,2,0
28,140059,36,1,1
45,127507,10,1,1
42,60309,21,0,0
40,128173,24,1,1
48,48273,20,0,0
47,67553,35,2,1
59,49473,19,1,1
52,81410,15,2,1
24,144772,27,1,1
33,148536,28,2,1
43,33679,25,1,0
19,112981,39,2,1
18,65310,1,1,0
29,103406,9,0,0
22,80683,12,2,0
54,132765,14,2,1
49,45992,8,0,0
26,49433,26,0,0
58,96574,7,0,0
52,45933,5,1,0
36,65020,35,0,1
33,49236,23,1,0
20,78735,2,1,0
37,29770,25,0,0
41,89285,35,0,1
50,130121,20,1,1
41,142747,12,2,1
28,55271,10,2,0
25,93391,7,0,0
53,131682,13,2,1
55,129633,32,1,1
57,43439,1,2,0
37,115826,0,1,0
52,31101,10,0,0
42,112776,5,0,0
52,102319,31,2,1
42,139070,14,0,1
46,64917,11,0,0
35,112345,36,1,1
63,132923,28,1,1
35,103459,21,1,1
19,133289,13,1,0
52,100562,18,0,1
33,61196,4,1,0
58,43569,34,1,1
53,139598,24,1,1
50,61887,37,2,1
21,40893,8,1,0
50,107971,6,0,0
31,75304,17,0,0
38,143299,1,1,0
37,122428,9,2,0
25,52399,1,2,0
24,137083,7,2,0
20,45236,6,2,0
34,112735,34,1,1
50,105870,22,1,1
29,134679,7,0,0
39,118753,20,0,1
39,69531,32,2,1
63,100570,0,2,1
47,116621,11,0,0
55,29442,10,0,0
55,76437,29,2,1
62,145339,3,0,1
25,80342,33,2,1
44,98179,22,1,1
44,55069,31,2,1
51,93246,2,1,0
38,58560,27,1,1
47,78070,3,1,0
50,62427,11,0,0
45,145608,23,0,1
64,80496,32,2,1
50,84557,2,1,0
22,92752,3,2,0
36,97248,29,1,1
21,90441,5,1,0
52,68534,29,2,1
34,124303,7,2,0
61,47930,17,2,1
45,116728,15,2,1
47,143295,5,0,0
46,109042,23,1,1
63,135287,27,1,1
23,27288,31,0,0
52,129570,24,1,1
58,115547,27,0,1
54,149483,20,1,1
41,101122,7,0,0
46,81518,35,0,1
63,52400,8,1,0
48,142609,39,1,1
52,21567,20,1,0
50,67878,0,2,0
38,68850,3,1,0
49,21094,9,1,0
40,31135,25,1,0
50,99044,39,2,1
20,65113,2,1,0
35,78791,8,0,0
42,29684,31,0,0
59,112783,2,2,1
48,91727,3,2,0
20,103378,5,2,0
57,78552,8,2,1
63,28046,25,2,1
41,24934,1,1,0
49,79556,1,0,0
64,66806,20,0,1
39,21354,21,1,0
40,124777,2,2,0
19,115352,34,1,1
44,143092,37,2,1
59,73046,32,0,1
19,131098,14,0,0
43,85064,10,2,0
34,77184,9,1,0
57,22963,35,2,1
50,47424,13,2,0
26,100039,1,0,0
60,23042,36,2,1
56,115777,28,1,1
46,125277,34,2,1
59,27139,19,0,0
43,31226,20,1,0
52,125234,33,1,1
42,100298,32,0,1
41,103652,18,0,0
30,142558,7,2,0
24,58108,30,0,0
53,90647,10,0,0
62,88617,7,0,0
37,49815,24,0,0
18,27802,19,1,0
25,62230,37,1,1
63,142215,6,1,1
33,83372,12,0,0
31,133884,38,2,1
29,74020,9,2,0
40,103449,7,2,0
32,37465,19,2,0
45,27994,16,1,0
51,23531,10,2,0
19,29343,15,1,0
49,79066,36,2,1
40,119020,31,2,1
39,26229,25,1,0
42,114311,36,1,1
39,112302,8,2,0
39,102124,34,0,1
59,108704,2,2,1
23,64789,30,2,0
32,64069,6,2,0
60,122398,1,1,1
54,107402,24,2,1
50,140428,39,0,1
25,29524,11,2,0
61,141907,29,0,1
61,144928,29,0,1
22,108074,28,0,0
56,128345,10,2,1
21,106762,22,1,0
23,83103,16,1,0
62,28103,12,2,0
49,78581,32,2,1
47,103938,0,0,0
64,74203,39,2,1
52,35090,12,1,0
57,35915,37,2,1
33,61477,2,2,0
30,76987,15,2,0
59,119742,6,0,1
47,73238,2,2,0
36,107047,13,2,0
34,136740,15,2,1
36,142217,3,1,0
45,35029,30,0,0
43,116367,12,0,0
54,109067,26,1,1
43,73520,0,0,0
40,90053,24,1,1
26,71464,36,0,1
29,41961,10,0,0
18,46835,8,0,0
18,47725,6,2,0
64,45357,13,0,0
51,129209,29,2,1
49,21244,23,2,0
42,87952,2,2,0
57,68061,38,1,1
62,26490,26,0,1
18,140856,0,0,0
33,143855,37,0,1
56,97219,25,2,1
22,146305,5,0,0
39,25839,11,2,0
46,44992,37,2,1
20,133154,34,2,1
29,143094,9,2,0
43,64938,8,0,0
33,144015,22,2,1
54,76249,29,1,1
39,64735,21,1,0
46,123313,8,1,0
31,70734,18,2,0
45,67080,7,0,0
22,147403,3,0,0
64,94460,4,2,1
47,145626,18,2,1
63,101457,17,2,1
22,44260,28,1,0
29,79607,18,2,0
33,81852,5,2,0
43,48380,4,0,0
43,104347,4,0,0
38,91257,7,1,0
56,61191,26,1,1
53,24930,36,1,1
50,24353,37,1,1
47,27832,36,2,1
54,140063,17,2,1
40,69554,25,1,1
27,108487,15,1,0
22,74017,21,0,0
53,77298,22,0,1
51,134752,2,0,0
48,71389,2,1,0
27,93306,11,0,0
36,45525,22,1,0
49,102092,10,2,1
18,100630,28,1,0
22,93471,5,2,0
62,88211,15,2,1
21,51280,33,1,0
33,144130,36,0,1
41,31240,10,1,0
33,85092,10,0,0
19,89541,24,2,0
45,82851,18,2,1
49,26544,31,2,1
44,77981,7,2,0
37,37332,11,1,0
41,46836,34,2,1
29,34388,5,0,0
52,133263,20,0,1
50,21694,25,2,1
50,147727,0,1,0
60,106677,16,2,1
54,108202,34,2,1
29,133057,26,0,1
20,69294,1,1,0
18,58769,35,1,0
50,59420,0,0,0
57,133289,9,0,1
27,122885,30,0,1
60,57855,36,1,1
61,21460,4,0,0
46,122191,12,0,0
30,67646,23,0,0
29,61252,26,2,0
48,29835,0,1,0
63,133947,19,1,1
19,30910,7,2,0
52,102757,2,1,0
40,111149,31,0,1
34,116889,24,2,1
43,124150,24,0,1
25,28463,13,0,0
46,33336,26,0,0
43,46534,31,0,1
27,22369,26,1,0
43,45381,3,2,0
51,132296,38,2,1
58,105094,10,0,1
24,107905,2,2,0
21,119186,24,2,1
62,116490,23,0,1
28,45407,8,0,0
46,82552,7,1,0
53,55939,38,1,1
42,112303,30,0,1
38,87576,16,1,0
53,148081,30,1,1
27,108652,3,2,0
54,46170,3,0,0
26,91908,36,2,1
41,144506,7,2,1
52,42369,5,0,0
52,93098,8,2,1
53,64544,7,1,0
35,25900,31,1,0
56,60733,14,1,0
49,107236,17,1,1
41,126769,22,1,1
40,20589,4,2,0
49,80044,26,0,1
54,85311,32,2,1
29,77926,1,2,0
30,90599,37,1,1
40,105553,27,1,1
42,103910,23,2,1
52,108435,20,2,1
58,69008,30,0,1
47,86794,10,0,0
34,99134,27,0,1
37,22866,39,0,1
42,72890,3,0,0
39,135259,15,1,1
30,61504,11,0,0
36,115668,21,2,1
53,73374,34,1,1
29,49404,15,2,0
58,85223,23,1,1
36,131008,34,1,1
29,20637,27,0,0
26,110152,28,2,1
24,123186,20,0,0
45,35828,24,2,1
31,73544,38,2,1
48,111732,30,0,1
36,121976,14,0,0
64,65097,34,1,1
33,133271,37,1,1
22,52022,21,1,0
52,52202,4,2,0
29,48704,12,0,0
42,111411,31,1,1
38,149688,2,0,0
53,43641,14,1,0
40,57479,26,1,1
33,98771,26,0,1
56,42027,29,1,1
62,118463,5,0,1
59,62912,24,1,1
56,133097,27,0,1
31,128227,21,1,1
48,112558,3,1,0
22,91474,14,2,0
52,148773,25,0,1
40,129658,17,1,1
46,62692,8,2,0
60,118884,3,0,0
28,52209,4,1,0
35,77563,5,1,0
64,76738,11,1,1
29,57242,30,0,0
26,29941,8,2,0
27,27073,6,1,0
61,127966,28,2,1
34,57827,13,0,0
55,66225,19,0,1
24,57096,31,1,0
63,70546,21,1,1
30,86457,35,1,1
57,149257,17,2,1
59,88309,39,2,1
26,89998,24,1,0
44,106496,30,0,1
19,50268,34,0,0
22,105354,25,1,0
46,125037,3,2,0
54,130078,19,0,1
55,62078,33,2,1
36,21865,11,1,0
25,116242,15,2,0
62,48887,4,2,0
18,69876,34,2,1
39,116047,26,0,1
34,53479,0,2,0
24,148863,33,2,1
42,60478,31,2,1
62,46401,38,1,1
21,48502,32,2,0
53,139768,30,2,1
23,131750,12,0,0
48,33394,1,1,0
36,118694,29,2,1
61,29262,9,0,0
56,24487,22,0,0
44,47341,32,2,1
27,147360,38,0,1
43,128924,28,0,1
36,33570,29,0,0
56,77268,33,0,1
20,141435,38,2,1
62,49605,16,2,1
30,91602,21,0,0
45,122798,4,2,0
37,46723,10,2,0
45,89108,21,0,1
25,98206,31,0,1
58,80098,23,0,1
56,113375,10,2,1
18,68707,10,2,0
20,69028,16,1,0
30,113937,31,1,1
45,76921,18,0,0
42,80760,26,1,1
50,30249,31,2,1
55,87847,24,1,1
23,117547,27,1,1
61,63839,39,0,1
62,125077,26,2,1
49,59673,13,2,0
62,23642,38,2,1
64,26338,1,2,0
38,134650,16,1,1
33,71761,0,0,0
38,29622,31,1,0
28,68423,18,2,0
54,62873,13,0,0
53,124544,30,0,1
52,67565,17,2,1
36,27806,13,2,0
37,20757,13,0,0
35,112246,23,2,1
64,41470,4,2,0
58,26220,15,2,0
31,128408,4,2,0
32,111851,12,0,0
48,74754,15,0,0
18,113329,14,1,0
20,147636,30,1,1
33,99852,4,0,0
40,127630,20,1,1
28,42505,29,2,0
29,48288,22,2,0
27,94492,37,0,1
49,39109,28,1,1
33,138056,12,2,1
25,23497,31,1,0
55,77326,26,0,1
29,29864,33,0,0
41,117046,32,1,1
45,113517,3,0,0
25,107562,17,2,0
45,94310,5,2,0
53,139454,27,1,1
43,132343,26,1,1
25,41017,25,0,0
45,21821,19,0,0
45,70337,12,1,0
54,65485,27,0,1
58,103557,33,1,1
53,76388,22,1,1
44,30372,9,2,0
34,126684,29,0,1
26,120050,21,1,0
50,113938,4,2,0
37,91333,8,1,0
30,36283,3,0,0
45,60857,0,2,0
46,71772,33,0,1
30,130441,25,2,1
63,79670,17,0,1
52,93133,15,1,1
23,115856,22,1,0
35,51261,35,1,1
22,77154,25,0,0
64,26107,1,2,0
42,111296,4,0,0
19,55561,28,1,0
27,96674,3,0,0
47,55268,34,2,1
62,51608,21,1,1
22,33138,7,0,0
50,126665,20,1,1
18,57693,7,0,0
35,145625,4,0,0
49,103000,20,1,1
64,144143,26,2,1
28,41248,37,1,1
38,122757,4,2,0
43,38632,20,1,0
42,67547,7,1,0
39,32100,21,1,0
44,67930,17,0,0
30,86861,3,0,0
50,96905,3,2,0
51,73025,36,1,1
58,95876,14,0,1
52,98944,37,0,1
18,70840,26,1,0
38,39369,20,1,0
23,38460,3,1,0
45,111641,10,2,1
34,116920,18,1,1
22,21461,18,0,0
48,62362,26,0,1
22,118376,39,1,1
55,147229,27,2,1
20,48610,4,2,0
40,124334,24,0,1
54,40995,2,2,0
54,104716,25,1,1
27,27717,9,2,0
27,98867,23,2,1
36,99472,28,0,1
34,84022,6,0,0
38,73668,22,0,0
31,71645,26,2,1
26,49550,8,0,0
63,106151,2,0,0
18,23576,12,2,0
62,60868,5,2,0
30,118039,37,2,1
21,66380,20,1,0
18,25728,18,1,0
57,52800,24,2,1
49,30886,38,0,1
51,99614,3,2,0
45,89909,21,1,1
48,67236,4,0,0
25,65805,0,1,0
56,138286,16,1,1
43,52532,8,1,0
51,132765,8,1,1
20,120696,23,0,0
29,48688,9,2,0
18,31063,19,0,0
61,43089,16,2,1
22,75942,12,2,0
47,71829,28,0,1
47,70553,35,2,1
34,53585,22,0,0
64,91739,26,0,1
40,79004,17,2,0
32,139250,17,2,1
54,139411,8,1,1
38,22438,2,2,0
31,113095,6,2,0
19,43212,14,2,0
28,70362,29,0,0
56,92177,8,1,0
55,36983,26,1,1
51,34026,35,0,1
55,140168,17,2,1
51,70998,30,2,1
35,144735,16,0,1
47,75744,5,1,0
32,77013,38,0,1
44,71039,24,0,0
51,69831,37,2,1
55,105172,37,0,1
50,54603,30,0,1
41,97758,28,0,1
32,87713,39,2,1
47,126446,8,2,1
59,118452,0,1,0
34,136183,15,1,1
22,33105,37,1,0
46,120048,22,2,1
21,87182,7,1,0
27,72147,11,0,0
34,141331,9,1,0
27,95400,15,0,0
34,66434,23,1,0
37,46515,38,2,1
41,109298,7,0,0
22,78001,10,0,0
51,121971,25,2,1
23,78397,6,0,0
19,81415,14,1,0
30,36960,14,2,0
60,129591,2,0,0
60,113143,15,2,1
28,101838,14,0,0
64,65778,24,0,1
40,50941,32,2,1
33,116857,13,0,0
48,115849,23,1,1
28,123083,10,1,0
33,60955,2,0,0
25,98565,8,0,0
21,121276,5,1,0
57,76908,30,0,1
21,84067,15,0,0
42,138636,10,2,1
20,75696,16,2,0
49,38429,2,1,0
20,114048,18,1,0
44,96676,23,2,1
46,136315,7,2,1
49,34847,35,1,1
36,67191,39,1,1
38,54256,1,1,0
22,147025,22,2,1
35,48774,39,2,1
45,147343,29,0,1
59,29127,24,1,1
39,138251,6,0,0
38,48205,27,1,0
23,128210,16,2,0
18,120106,31,1,1
22,101163,0,1,0
58,78764,26,2,1
29,138279,35,2,1
43,121824,6,1,0
63,58664,2,1,0
51,76795,29,1,1
31,141729,0,1,0
43,52333,33,1,1
62,133548,37,2,1
44,56079,35,1,1
26,104225,32,2,1
43,44259,15,0,0
64,46571,37,0,1
39,71119,10,1,0
64,28009,7,0,0
47,130210,0,2,0
60,130531,13,0,1
34,81829,29,0,1
43,58230,20,2,1
53,131364,20,1,1
18,76049,33,2,1
25,121762,37,2,1
52,143273,25,1,1
32,139466,13,2,1
64,56498,39,1,1
39,139053,34,2,1
31,48820,17,0,0
43,60315,19,1,0
45,115018,8,1,0
40,52795,32,0,1
31,133812,3,0,0
41,105411,3,1,0
19,59191,15,0,0
62,74453,25,2,1
43,32453,5,2,0
31,140848,36,2,1
24,70325,21,0,0
20,69490,38,0,0
64,94796,6,0,0
40,134165,29,1,1
63,69993,9,2,1
60,130780,14,1,1
64,65706,5,1,0
62,134981,23,1,1
35,62817,1,2,0
55,84544,39,2,1
52,111434,14,2,1
32,75710,20,0,0
42,70799,17,2,0
54,139586,4,0,0
45,80964,24,0,1
27,73678,35,0,1
56,91150,9,2,1
34,117379,22,2,1
56,80438,23,2,1
39,129987,9,2,1
43,97223,5,1,0
61,81926,12,2,1
42,23801,20,2,0
34,61048,31,2,1
30,60144,14,2,0
37,114478,1,2,0
42,30148,14,1,0
21,132364,16,1,0
27,102819,19,0,0
20,39861,5,0,0
58,120048,14,2,1
62,81717,16,0,1
35,42480,25,1,0
64,38637,21,2,1
53,64621,8,0,0
64,80304,11,0,1
39,67431,21,1,0
51,119937,22,2,1
64,108921,36,0,1
25,76172,13,1,0
57,45437,23,2,1
61,28149,7,1,0
36,34671,25,2,0
59,123005,31,2,1
58,43119,27,2,1
54,66117,31,1,1
23,119317,21,2,1
43,36279,8,0,0
51,88835,2,2,0
62,119810,24,2,1
23,146085,38,1,1
54,24803,11,2,0
50,102897,28,0,1
39,80805,2,0,0
38,38201,22,2,0
23,146564,22,1,1
23,48634,17,0,0
21,34760,10,1,0
47,30826,35,2,1
28,106821,25,1,1
47,132125,7,2,1
48,65775,27,2,1
41,146546,17,1,1
26,134090,12,0,0
20,94676,35,2,1
48,26798,39,2,1
57,135161,11,2,1
54,86103,21,0,1
53,97160,1,0,0
41,97751,39,2,1
48,93502,27,0,1
23,71410,12,1,0
19,60888,32,1,0
37,69047,2,1,0
45,115289,33,1,1
28,129640,22,2,1
21,122614,31,1,1
32,65955,19,0,0
23,132393,27,2,1
47,21982,7,0,0
55,53864,2,1,0
19,141298,29,2,1
32,99118,24,2,1
28,105490,29,2,1
25,59265,28,1,0
43,66313,29,0,1
62,64350,33,2,1
61,35378,24,0,1
22,129168,16,1,0
23,138334,23,1,1
43,137107,37,0,1
21,89815,27,2,1
36,47924,32,0,0
37,102593,35,2,1
50,137490,6,2,1
37,27312,22,0,0
29,50353,25,2,0
64,133744,13,2,1
18,120673,27,2,1
43,106450,23,1,1
31,36192,6,2,0
55,37450,35,0,1
54,25432,38,1,1
28,77225,14,2,0
53,116548,2,1,0
30,118991,1,0,0
60,98711,6,1,1
20,85604,15,1,0
50,30295,20,2,0
23,26774,8,0,0
27,135107,11,0,0
22,32190,28,1,0
40,51286,23,2,1
27,96325,32,1,1
61,114450,13,1,1
19,117480,17,1,0
30,92427,4,2,0
57,107513,14,1,1
19,84014,6,2,0
37,115887,24,0,1
18,95852,13,1,0
54,75256,39,0,1
26,148477,35,1,1
34,138580,34,0,1
26,118743,23,2,1
28,78630,14,1,0
32,135896,10,1,0
41,111190,23,2,1
55,82771,10,0,0
52,71715,16,0,0
47,27466,5,2,0
48,146503,20,0,1
22,37637,7,2,0
61,146237,14,0,1
31,88745,31,2,1
28,56317,9,2,0
26,69766,27,2,0
51,23078,14,2,0
29,47299,11,0,0
52,121794,17,1,1
52,23543,36,0,1
18,142790,23,2,1
57,114627,36,1,1
39,71052,28,1,1
46,114483,9,0,0
25,42064,13,2,0
28,92287,15,2,0
58,100442,36,2,1
54,140550,10,2,1
31,103632,25,2,1
47,34425,39,1,1
52,71481,18,0,0
38,97347,17,0,0
54,103114,29,0,1
22,92317,31,1,1
36,142850,22,1,1
31,106826,11,0,0
43,70530,12,1,0
21,101099,20,1,0
42,45888,20,0,0
62,47491,28,1,1
59,133101,28,2,1
42,52352,26,0,0
35,135437,28,0,1
57,41676,14,0,0
25,85836,11,0,0
56,57463,18,1,1
57,130478,11,0,1
31,68990,22,2,0
49,106544,4,1,0
55,83627,25,1,1
50,40221,9,0,0
40,134965,21,1,1
32,114870,38,1,1
50,129054,22,1,1
42,148345,10,0,0
34,105837,27,2,1
50,92843,30,0,1
64,71313,7,2,1
19,49251,38,1,0
31,66586,27,2,1
57,119693,15,0,1
57,94418,30,0,1
56,73884,15,0,0
23,72620,4,1,0
23,30040,34,2,0
20,91677,24,0,0
24,65878,12,0,0
25,25969,28,0,0
59,33162,26,1,1
32,85435,39,0,1
64,138504,16,1,1
46,94667,36,1,1
50,148658,37,0,1
47,25037,28,1,1
56,80526,33,1,1
44,107914,29,0,1
53,34693,30,0,1
46,146189,21,2,1
55,112162,24,0,1
50,79090,3,2,0
54,22451,34,2,1
44,85560,8,2,0
50,25962,25,0,0
21,120860,26,2,1
39,116951,26,2,1
19,109552,17,2,0
27,36444,29,0,0
22,60443,30,0,0
27,36506,2,0,0
50,58384,28,0,1
55,128598,6,1,1
30,135874,17,0,0
48,117229,15,2,1
64,132314,31,0,1
53,139846,37,1,1
62,44248,24,1,1
41,66162,31,1,1
32,62690,18,0,0
46,147521,2,1,0
25,89625,34,1,1
22,132752,28,1,1
46,88008,10,0,0
64,80309,5,1,0
21,63237,18,1,0
29,146967,36,2,1
62,125754,26,2,1
19,55732,4,2,0
44,28104,25,1,0
48,103230,34,2,1
53,110266,18,0,1
53,54980,16,2,1
43,149985,34,0,1
60,146133,12,2,1
44,94990,13,2,1
22,59560,29,2,0
37,29554,16,0,0
28,111049,36,0,1
27,127007,14,2,0
57,65987,17,0,0
55,50985,13,2,0
23,110298,13,1,0
25,68167,32,1,0
40,136533,37,1,1
64,60428,10,0,0
43,87238,10,1,0
63,135078,25,2,1
60,82723,2,2,0
29,37038,24,0,0
43,42219,16,2,0
30,24271,21,1,0
57,47397,28,2,1
35,94491,25,0,0
42,138088,33,2,1
50,49602,25,2,1
64,74471,8,1,1
57,82150,39,0,1
60,64227,10,1,0
29,117081,6,2,0
61,43116,29,0,1
53,26674,1,2,0
21,37469,29,2,0
22,25446,3,1,0
54,144809,13,2,1
25,40760,12,0,0
59,21963,24,0,0
45,128281,12,1,1
48,96002,12,1,0
26,47262,36,0,0
46,25177,5,1,0
31,31160,25,2,0
57,122876,13,0,1
58,27543,7,1,0
39,127211,23,0,1
28,102162,21,2,1
40,59278,39,1,1
18,49607,38,0,0
63,105835,20,2,1
54,144403,25,1,1
38,37221,9,0,0
43,23323,12,2,0
63,72105,13,2,1
53,127841,8,2,1
40,96151,6,2,0
18,144908,38,2,1
57,86968,30,1,1
32,43238,15,2,0
38,125959,7,1,0
64,83830,14,1,1
26,93967,24,0,0
26,28330,37,0,0
27,64153,14,1,0
43,28611,24,2,0
58,33872,6,2,0
52,69455,25,1,1
42,54930,7,2,0
43,92022,17,1,1
28,82714,20,0,0
55,144906,15,2,1
19,122406,2,2,0
24,108794,0,2,0
35,68716,12,0,0
44,128722,31,2,1
51,86704,11,1,0
44,20415,30,2,1
34,96441,1,1,0
60,131736,7,2,1
61,90779,24,1,1
41,102069,4,0,0
42,112556,1,2,0
24,108444,37,0,1
23,91435,38,0,1
41,119142,2,2,0
50,124448,37,2,1
46,29888,21,1,0
60,65299,39,2,1
39,144790,32,2,1
43,78765,31,1,1
45,82714,16,1,0
38,147854,17,2,1
24,35935,2,2,0
34,93002,5,2,0
37,100631,12,0,0
58,96729,30,0,1
37,21320,16,2,0
39,66032,20,1,0
45,97763,15,2,1
57,37907,16,2,1
24,58002,31,0,0
18,64838,0,2,0
49,58912,37,2,1
30,20552,7,0,0
47,40140,0,0,0
40,105591,1,1,0
36,135169,36,1,1
49,68737,23,1,1
47,53367,26,2,1
46,100634,19,1,1
62,44061,20,0,1
46,116590,36,1,1
47,100336,34,2,1
33,62124,37,2,1
57,65638,14,1,1
36,130728,29,2,1
35,111115,3,2,0
18,21982,38,2,0
31,136322,14,1,0
64,126134,22,2,1
19,55765,14,1,0
45,102606,25,1,1
47,116422,11,2,1
55,129910,17,1,1
21,74681,5,1,0
18,83232,17,2,0
25,82349,23,2,0
46,120063,37,1,1
56,83474,27,0,1
20,125327,14,0,0
49,49513,18,0,0
27,42592,4,0,0
27,132196,3,1,0
36,43618,16,2,0
63,71632,9,0,0
51,35409,11,2,0
50,29529,4,0,0
40,142164,6,0,0
45,44154,22,0,0
49,52882,1,2,0
24,64917,29,2,0
46,102488,36,0,1
25,35701,4,2,0
18,95281,19,0,0
20,109871,25,1,0
41,88225,38,2,1
40,139278,5,0,0
25,72492,28,1,0
64,22988,9,1,0
54,55919,15,0,0
20,130023,33,1,1
50,68426,30,1,1
45,72167,35,0,1
64,29013,4,1,0
25,59113,32,1,0
51,23574,18,0,0
52,118016,31,0,1
49,27838,22,1,0
